State,SA3 code,SA3 name,Remoteness/ socioeconomic status (SES),Per cent of patients with costs (%),25th percentile ($),50th percentile (Median) ($),75th percentile ($),90th percentile ($),Average no. of services per patient(b),Average out-of-pocket cost per patient ($)(b),Average Medicare benefits expenditure per patient ($)(b),Service type,Per cent of patients with GP costs (%),Per cent of patients with specialist costs (%),Per cent of patients with obstetric costs (%),25th percentile ($).1,50th percentile (Median) ($).1,75th percentile ($).1,90th percentile ($).1
NSW,12202,Pittwater,Major cities - higher SES,,50,86,127,157,,,,Specialist,,87.0,74.2,62.0,192.0,328.0,583.0
NSW,12404,Richmond - Windsor,Major cities - medium SES,,39,69,105,130,,,,Specialist,,76.8,49.9,33.0,64.0,217.0,322.0
NSW,11504,Rouse Hill - McGraths Hill,Major cities - higher SES,,44,76,112,147,,,,Specialist,,77.4,56.6,38.0,185.0,292.0,467.0
NSW,12602,Ryde - Hunters Hill,Major cities - higher SES,,45,82,123,157,,,,Specialist,,76.8,64.7,63.0,231.0,399.0,691.0
NSW,12405,St Marys,Major cities - medium SES,,36,67,106,132,,,,Specialist,,62.8,24.9,44.0,102.0,227.0,327.0
NSW,12003,Strathfield - Burwood - Ashfield,Major cities - medium SES,,38,76,121,156,,,,Specialist,,67.6,39.5,38.0,200.0,401.0,596.0
NSW,12802,Sutherland - Menai - Heathcote,Major cities - higher SES,,42,76,117,149,,,,Specialist,,83.1,62.0,45.0,238.0,366.0,506.0
NSW,11703,Sydney Inner City,Major cities - higher SES,,54,96,144,177,,,,Specialist,,71.8,59.8,38.0,144.0,417.0,626.0
NSW,12203,Warringah,Major cities - higher SES,,47,84,127,162,,,,Specialist,,83.0,62.2,69.0,224.0,424.0,831.0
NSW,12303,Wollondilly,Inner regional,,40,70,108,139,,,,Specialist,,75.6,36.5,42.0,227.0,333.0,512.0
